,File,Count,Location,Emotions
109,../images/42788820_15714371222815_r.jpg,1,"[(53, 583, 182, 454)]",['Fear']
110,../images/42802948_158462474970825_r.jpg,4,"[(155, 353, 229, 278), (55, 204, 130, 129), (136, 233, 188, 181), (163, 511, 237, 436)]","['Fear', 'Fear', 'Fear', 'Fear']"
111,../images/42803556_1572989470964259_r.jpg,3,"[(92, 426, 199, 318), (56, 255, 146, 165), (70, 559, 113, 516)]","['Fear', 'Surprise', 'Happy']"
112,../images/42820842_1579831030103313_r.jpg,0,[],
113,../images/42831804_1571967251200638_r.jpg,2,"[(348, 883, 669, 562), (348, 1786, 811, 1324)]","['Fear', 'Fear']"
114,../images/42844578_1571644824164967_r.jpg,2,"[(889, 461, 1274, 76), (700, 1594, 855, 1440)]","['Surprise', 'Happy']"
115,../images/42867044_1579517811751856_r.jpg,0,[],
116,../images/42868634_1571730452915289_r.jpg,5,"[(367, 880, 474, 772), (390, 629, 498, 521), (325, 1091, 415, 1001), (368, 411, 497, 282), (368, 1257, 497, 1128)]","['Fear', 'Fear', 'Surprise', 'Fear', 'Surprise']"
117,../images/42873202_1572440469154206_r.jpg,0,[],
118,../images/42897284_1572098882270684_r.jpg,1,"[(357, 911, 911, 356)]",['Fear']
119,../images/42902262_1571877345709155_r.jpg,2,"[(219, 322, 374, 167), (118, 510, 304, 324)]","['Fear', 'Fear']"
120,../images/42959654_1572063228431678_r.jpg,1,"[(46, 235, 136, 145)]",['Surprise']
121,../images/42960052_1572065229269865_r.jpg,0,[],
122,../images/42962690_1573622899299685_r.jpg,0,[],
123,../images/42968824_1572123426998146_r.jpg,0,[],
124,../images/42970764_1574568980742400_r.jpg,1,"[(960, 1727, 1183, 1504)]",['Fear']
125,../images/42971328_1572217847940493_r.jpg,0,[],
126,../images/42978456_1572161207456566_r.jpg,0,[],
127,../images/42994766_1572230262891100_r.jpg,1,"[(428, 1019, 1094, 354)]",['Happy']
128,../images/42995152_1575421944894888_r.jpg,2,"[(613, 712, 836, 489), (1320, 167, 1474, 12)]","['Fear', 'Fear']"
129,../images/43005870_1593657898196721_r.jpg,1,"[(53, 583, 182, 454)]",['Angry']
130,../images/43026452_1572355499200229_r.jpg,4,"[(175, 641, 283, 533), (283, 366, 390, 259), (223, 211, 331, 103), (146, 424, 236, 335)]","['Fear', 'Fear', 'Fear', 'Angry']"
131,../images/43033348_1573766433343661_r.jpg,1,"[(354, 1685, 1020, 1019)]",['Fear']
132,../images/43066684_1572484903173396_r.jpg,1,"[(30, 137, 105, 63)]",['Angry']
133,../images/43067012_1572485814955266_r.jpg,4,"[(156, 377, 218, 315), (94, 453, 156, 391), (107, 72, 159, 20), (135, 246, 198, 183)]","['Happy', 'Fear', 'Happy', 'Fear']"
134,../images/43070222_1572876658177328_r.jpg,5,"[(281, 280, 343, 218), (218, 496, 262, 453), (96, 328, 171, 254), (132, 443, 175, 400), (234, 567, 285, 515)]","['Fear', 'Happy', 'Fear', 'Fear', 'Fear']"
135,../images/43077642_1572548591567158_r.jpg,2,"[(889, 632, 1274, 247), (297, 1324, 759, 861)]","['Fear', 'Fear']"
136,../images/43090788_1572733231555323_r.jpg,1,"[(139, 386, 325, 201)]",['Happy']
137,../images/43106410_1576827104925676_r.jpg,5,"[(1158, 834, 1233, 760), (1067, 693, 1142, 619), (1092, 469, 1166, 395), (1426, 769, 1478, 717), (1449, 598, 1511, 536)]","['Fear', 'Fear', 'Fear', 'Surprise', 'Happy']"
138,../images/43108932_1572673618594742_r.jpg,2,"[(81, 648, 236, 494), (242, 799, 428, 613)]","['Angry', 'Surprise']"
139,../images/43129200_1573416739784813_r.jpg,1,"[(118, 487, 170, 435)]",['Fear']
140,../images/43135466_1574099787398207_r.jpg,3,"[(231, 795, 498, 527), (340, 368, 469, 239), (325, 593, 511, 407)]","['Surprise', 'Fear', 'Fear']"
141,../images/43137522_1572895096782761_r.jpg,0,[],
142,../images/43141920_1572827808663381_r.jpg,1,"[(284, 304, 469, 118)]",['Fear']
143,../images/43155870_1575876002139336_r.jpg,0,[],
144,../images/43156642_1578461346674065_r.jpg,2,"[(187, 282, 295, 175), (246, 171, 320, 96)]","['Fear', 'Fear']"
145,../images/43172308_1576614265629713_r.jpg,0,[],
146,../images/43187218_1573493836730427_r.jpg,1,"[(937, 2747, 1895, 1788)]",['Fear']
147,../images/43190822_1573009463545867_r.jpg,1,"[(280, 872, 946, 206)]",['Surprise']
148,../images/43191456_1575153785573017_r.jpg,1,"[(260, 498, 528, 230)]",['Happy']
149,../images/43198104_1573012823167671_r.jpg,3,"[(265, 116, 355, 26), (246, 486, 320, 411), (179, 328, 254, 254)]","['Surprise', 'Happy', 'Surprise']"
150,../images/43219100_1573084217351133_r.jpg,5,"[(137, 160, 180, 117), (151, 40, 194, 0), (270, 461, 306, 425), (134, 701, 170, 665), (78, 425, 114, 389)]","['Surprise', 'Fear', 'Surprise', 'Surprise', 'Surprise']"
151,../images/43228178_1573134739252610_r.jpg,0,[],
152,../images/43234206_157323773017819_r.jpg,0,[],
153,../images/43253764_1573430954123079_r.jpg,7,"[(262, 265, 298, 229), (270, 541, 306, 505), (274, 925, 310, 889), (286, 218, 329, 175), (314, 1034, 366, 982), (246, 697, 282, 661), (170, 297, 206, 261)]","['Fear', 'Angry', 'Angry', 'Fear', 'Fear', 'Angry', 'Fear']"
154,../images/43258200_157393965684945_r.jpg,8,"[(310, 641, 346, 605), (138, 737, 174, 701), (278, 493, 314, 457), (138, 605, 174, 569), (146, 669, 182, 633), (150, 89, 186, 53), (298, 301, 334, 265), (158, 145, 194, 109)]","['Fear', 'Fear', 'Fear', 'Fear', 'Fear', 'Fear', 'Fear', 'Fear']"
155,../images/43258486_1577485706267897_r.jpg,1,"[(1252, 996, 2403, 0)]",['Fear']
156,../images/43258714_1573234972373855_r.jpg,1,"[(976, 390, 1130, 236)]",['Fear']
157,../images/43260772_1573923703267987_r.jpg,2,"[(66, 170, 129, 107), (10, 296, 139, 167)]","['Fear', 'Angry']"
158,../images/43263186_1580270566168262_r.jpg,0,[],
159,../images/43276596_1573295720752301_r.jpg,0,[],
160,../images/43283360_1573526781325265_r.jpg,6,"[(325, 669, 454, 540), (225, 1529, 354, 1400), (397, 1185, 526, 1056), (354, 927, 483, 798), (235, 1083, 343, 975), (397, 1414, 526, 1285)]","['Happy', 'Fear', 'Fear', 'Happy', 'Fear', 'Happy']"
161,../images/43296606_1590055639870211_r.jpg,0,[],
162,../images/43304684_157341396135818_r.jpg,0,[],
163,../images/43321896_1573481878842845_r.jpg,1,"[(296, 262, 370, 187)]",['Surprise']
164,../images/43323670_1574327015778727_r.jpg,1,"[(136, 384, 226, 295)]",['Surprise']
165,../images/43347960_1573575141801810_r.jpg,3,"[(163, 294, 271, 187), (32, 378, 140, 270), (10, 153, 139, 24)]","['Fear', 'Angry', 'Fear']"
166,../images/43349798_1573575976695840_r.jpg,1,"[(67, 468, 196, 339)]",['Happy']
